date,Email,billing_phone,Lname,Fname,Country,Plan-Tags,Purchase Plans,Amount-USD,UTM Campaign,UTM Medium,UTM Source,Status,Account Type,Platform,Leverage,Deposit Count,Total Deposits (USD),Profit/Loss (USD),Ticket Category,Ticket Status,Response Time (hrs),Assigned Agent,Last Login Date,Trades Count
2025-07-29,lina.wilson@icloud.com,213181106786,Wilson,Lina,Australia,VIP,Mini Account,9309.59,ramadan_offer,direct,facebook,Churned,Cent,MT4,1:500,1,11222.02,5057.01,Password Reset,Open,54.0,Sara M.,2026-04-09,346
2025-04-29,ava.kim@outlook.com,176583444930,Kim,Ava,UK,Bronze,MT4 Standard,23731.08,ramadan_offer,cpc,direct,VIP Active,Mini,MT5,1:200,2,51897.85,-226.28,General Inquiry,Pending Client,37.9,Lena T.,2026-03-29,319
2025-10-04,samir.patel@gmail.com,182135872495,Patel,Samir,Kuwait,Premium,VIP Account,1001.18,partner_offer,social,linkedin,New Lead,Mini,MT4,1:1000,2,2834.32,987.58,Leverage Request,In Progress,11.8,Lena T.,2026-04-07,145
2025-05-05,rana.martinez@outlook.com,721041531046,Martinez,Rana,India,Premium,MT5 Pro,2002.16,welcome_bonus,push,google,Churned,ECN,cTrader,1:500,11,24149.12,6033.61,Account Suspension,Open,0.8,Fatima K.,2026-03-12,428
2025-10-12,mia.williams@outlook.com,804218981849,Williams,Mia,Australia,Gold,MT5 Pro,4627.45,welcome_bonus,social,partner,Churned,Pro,cTrader,1:1000,1,6613.77,12682.69,KYC Verification,Resolved,18.3,Ali R.,2026-04-07,13
2025-08-23,zainab.taylor@yahoo.com,299691572571,Taylor,Zainab,India,Gold,Cent Account,5302.24,facebook_campaign,display,linkedin,Inactive,Islamic,WebTrader,1:200,12,55715.96,11410.73,Withdrawal Issue,Reopened,34.2,Omar H.,2026-03-15,443
2025-09-25,mohammad.anderson@hotmail.com,563196545325,Anderson,Mohammad,Jordan,Pro,ECN Account,14699.04,loyalty_bonus,organic,linkedin,On Hold,Standard,MT4,1:1000,1,12946.02,3691.28,Account Suspension,Closed,42.0,Lena T.,2026-04-09,23
2025-10-12,james.ivanov@hotmail.com,528289454630,Ivanov,James,UAE,Starter,VIP Account,15560.57,welcome_bonus,organic,partner,Inactive,Cent,cTrader,1:200,2,45567.95,8337.86,Leverage Request,Pending Client,22.9,Ali R.,2026-03-23,341
2025-04-09,khalid.davis@yahoo.com,855659161352,Davis,Khalid,Iran,Starter,VIP Account,24004.75,loyalty_bonus,display,facebook,On Hold,VIP,WebTrader,1:100,5,113677.84,5223.48,General Inquiry,Pending Client,47.3,David P.,2026-03-19,420
2025-08-12,lucas.kim@gmail.com,974803044105,Kim,Lucas,Iraq,Pro,MT5 Pro,929.47,forex_webinar,social,bing,Follow Up,VIP,WebTrader,1:500,10,12964.4,-120.31,Deposit Problem,Escalated,30.1,Omar H.,2026-03-25,238
2026-03-16,sara.chen@yahoo.com,826322520473,Chen,Sara,Egypt,Elite,Cent Account,198.26,ramadan_offer,referral,twitter,Rejected,ECN,WebTrader,1:500,9,2171.21,4001.4,Trade Dispute,Pending Client,58.8,Nour S.,2026-03-26,140
2026-03-30,ahmed.santos@outlook.com,993987248494,Santos,Ahmed,Australia,Institutional,MT4 Standard,465.08,facebook_campaign,sms,google,Active,Standard,WebTrader,1:100,12,5300.61,11657.82,Bonus Inquiry,Escalated,24.2,David P.,2026-03-14,483
2026-02-11,mia.dupont@outlook.com,173294043548,Dupont,Mia,UK,Pro,Cent Account,5038.22,loyalty_bonus,direct,google,On Hold,Mini,cTrader,1:500,4,23009.77,9483.63,Account Suspension,Escalated,35.2,Nour S.,2026-04-07,43
2025-10-20,david.ivanov@icloud.com,72503068227,Ivanov,David,Bahrain,Premium,Cent Account,9363.46,summer_promo,cpc,twitter,Churned,Islamic,WebTrader,1:50,4,41884.24,4406.14,Leverage Request,Reopened,63.4,Lena T.,2026-03-20,103
2026-01-22,ethan.alrashid@hotmail.com,749410288290,Al-Rashid,Ethan,Indonesia,Pro,MT5 Pro,925.24,forex_webinar,email,tiktok,Converted,Islamic,MT5,1:50,4,4165.52,6573.69,Account Suspension,Reopened,26.9,Ali R.,2026-04-09,354
2025-06-09,ethan.brown@outlook.com,635748253283,Brown,Ethan,Egypt,Bronze,MT4 Standard,2140.12,email_blast,social,partner,VIP Active,Cent,MT4,1:200,10,28845.49,-4746.96,Leverage Request,Pending Client,31.1,Reza A.,2026-04-04,91
2025-11-18,sophia.hosseini@icloud.com,798164814926,Hosseini,Sophia,Jordan,Bronze,VIP Account,15823.92,summer_promo,sms,youtube,Rejected,VIP,cTrader,1:100,12,230661.91,10009.53,Leverage Request,Reopened,18.1,Ali R.,2026-04-05,94
2026-04-03,hana.martinez@outlook.com,584405620755,Martinez,Hana,Pakistan,Premium,Cent Account,1936.14,referral_program,organic,partner,VIP Active,Cent,WebTrader,1:100,5,11510.87,8812.19,Password Reset,Closed,6.6,Nour S.,2026-04-07,355
2025-11-12,layla.dupont@icloud.com,983964229896,Dupont,Layla,Malaysia,Gold,ECN Account,10106.95,forex_webinar,sms,linkedin,Pending KYC,Mini,MT4,1:100,9,93832.77,1310.96,Trade Dispute,In Progress,22.4,Omar H.,2026-04-02,371
2025-09-07,samir.anderson@yahoo.com,823108307952,Anderson,Samir,Canada,Standard,VIP Account,2192.2,loyalty_bonus,referral,direct,Inactive,Standard,MT4,1:1000,6,12174.72,842.73,Withdrawal Issue,Resolved,38.7,Lena T.,2026-03-17,246
2025-06-06,tariq.santos@gmail.com,328578226896,Santos,Tariq,Iran,Institutional,MT4 Standard,2176.43,loyalty_bonus,direct,twitter,Rejected,ECN,MT5,1:1000,2,4703.24,13982.51,Deposit Problem,Pending Client,45.5,Sara M.,2026-04-05,398
2025-09-12,yusuf.tanaka@yahoo.com,711322401182,Tanaka,Yusuf,Germany,Standard,Islamic Account,2144.07,facebook_campaign,sms,tiktok,Active,Mini,cTrader,1:50,10,18056.53,-1858.86,Deposit Problem,Reopened,15.4,Omar H.,2026-03-28,241
2025-05-15,nour.karimi@yahoo.com,354550353803,Karimi,Nour,Egypt,Premium,ECN Account,2081.2,summer_promo,social,linkedin,Rejected,Standard,WebTrader,1:1000,4,12043.8,-503.81,General Inquiry,Resolved,58.0,Omar H.,2026-03-31,305
2026-04-02,sophia.moore@gmail.com,128822944679,Moore,Sophia,Malaysia,Institutional,ECN Account,9248.71,summer_promo,social,direct,Churned,Mini,WebTrader,1:200,5,53195.37,7074.27,Trade Dispute,Escalated,6.3,Sara M.,2026-03-22,266
2025-05-25,david.kowalski@outlook.com,983362646960,Kowalski,David,Jordan,Elite,MT5 Pro,24679.42,ramadan_offer,display,linkedin,Rejected,VIP,cTrader,1:500,6,160787.95,764.36,Leverage Request,Resolved,8.0,Fatima K.,2026-03-25,166
2026-03-11,fatima.anderson@icloud.com,179279291478,Anderson,Fatima,UK,Elite,Cent Account,15974.78,email_blast,email,google,Follow Up,Pro,WebTrader,1:50,9,161512.23,-928.84,Withdrawal Issue,Closed,37.6,David P.,2026-04-06,499
2026-01-16,david.smith@hotmail.com,548880079328,Smith,David,Egypt,Elite,Mini Account,481.08,forex_webinar,sms,bing,Follow Up,Mini,WebTrader,1:200,2,921.07,5177.44,Deposit Problem,Escalated,68.2,Fatima K.,2026-03-23,75
2025-11-07,khalid.martinez@hotmail.com,716915072151,Martinez,Khalid,Indonesia,Bronze,VIP Account,536.4,forex_webinar,organic,tiktok,Churned,VIP,MT5,1:1000,9,4764.94,4686.83,Withdrawal Issue,In Progress,52.4,David P.,2026-03-20,197
2025-10-23,layla.anderson@outlook.com,24102872611,Anderson,Layla,USA,Pro,MT4 Standard,3146.82,welcome_bonus,email,direct,Active,Pro,MT4,1:500,11,51457.74,-3005.77,Trade Dispute,Open,9.5,Reza A.,2026-03-31,401
2026-03-20,hassan.santos@hotmail.com,304207337120,Santos,Hassan,Indonesia,Pro,Mini Account,5149.84,ramadan_offer,email,direct,Pending KYC,Cent,MT4,1:50,9,49407.87,-304.6,Leverage Request,Resolved,51.9,David P.,2026-04-06,86
2025-10-09,james.dupont@outlook.com,803934040683,Dupont,James,UAE,Elite,MT4 Standard,3177.69,loyalty_bonus,social,twitter,Churned,ECN,MT5,1:50,7,20061.68,7189.84,Password Reset,Escalated,41.0,Fatima K.,2026-03-21,237
2025-09-03,david.müller@hotmail.com,269587244082,Müller,David,Germany,Elite,ECN Account,107.98,ramadan_offer,organic,partner,Rejected,Mini,WebTrader,1:200,9,884.92,4136.72,Trade Dispute,In Progress,71.1,Lena T.,2026-03-31,293
2025-08-27,mia.williams@yahoo.com,805464285982,Williams,Mia,Iraq,Elite,Mini Account,1808.78,summer_promo,direct,youtube,Active,Cent,MT5,1:200,10,25423.26,-619.91,Withdrawal Issue,Pending Client,53.8,Lena T.,2026-03-10,375
2026-01-10,reza.johnson@outlook.com,105151086814,Johnson,Reza,Iraq,Pro,ECN Account,4675.64,partner_offer,display,facebook,New Lead,Mini,cTrader,1:200,6,32867.79,11084.65,Account Suspension,Reopened,12.3,David P.,2026-04-07,405
2026-02-02,khalid.alrashid@outlook.com,902753617371,Al-Rashid,Khalid,Jordan,VIP,VIP Account,198.19,summer_promo,cpc,linkedin,Churned,Cent,cTrader,1:100,11,3179.02,7953.05,Deposit Problem,Resolved,17.2,Sara M.,2026-03-22,253
2026-03-18,fatima.patel@icloud.com,532201474778,Patel,Fatima,Egypt,Bronze,VIP Account,488.86,forex_webinar,sms,direct,Pending KYC,Mini,WebTrader,1:50,12,7553.11,11673.86,Password Reset,Escalated,42.5,Fatima K.,2026-04-09,487
2025-05-10,layla.rossi@gmail.com,433424843951,Rossi,Layla,Qatar,Premium,Mini Account,3026.68,partner_offer,organic,tiktok,Pending KYC,Mini,MT5,1:1000,5,14117.43,14421.87,Deposit Problem,Reopened,59.4,Ali R.,2026-03-22,111
2025-04-10,ethan.kim@yahoo.com,762390587865,Kim,Ethan,India,VIP,Cent Account,528.86,referral_program,cpc,instagram,VIP Active,ECN,MT4,1:50,3,2366.02,2164.85,Password Reset,In Progress,57.6,Ali R.,2026-03-18,380
2025-12-27,lina.hosseini@outlook.com,525758659815,Hosseini,Lina,Qatar,Elite,Mini Account,199.05,ramadan_offer,email,youtube,Pending KYC,Mini,WebTrader,1:50,2,444.44,-3783.49,KYC Verification,Pending Client,3.6,Lena T.,2026-03-28,312
2026-04-08,reza.johnson@icloud.com,934717261214,Johnson,Reza,Bahrain,Pro,ECN Account,25665.38,email_blast,organic,partner,On Hold,Pro,MT4,1:50,7,268810.87,12055.85,Password Reset,In Progress,32.9,Nour S.,2026-03-20,174
2026-03-15,ethan.kowalski@hotmail.com,173389594115,Kowalski,Ethan,UK,Institutional,Islamic Account,192.5,partner_offer,push,youtube,Pending KYC,VIP,MT4,1:50,6,1694.98,9891.78,Trade Dispute,Open,7.0,Ali R.,2026-03-18,344
2025-09-03,fatima.ivanov@icloud.com,483391179068,Ivanov,Fatima,Pakistan,Institutional,Cent Account,5368.09,referral_program,cpc,instagram,Follow Up,Pro,MT5,1:50,5,28079.2,2002.28,General Inquiry,Pending Client,15.7,David P.,2026-03-29,140
2026-01-23,james.anderson@hotmail.com,408394198376,Anderson,James,Iraq,Institutional,ECN Account,2703.66,loyalty_bonus,email,google,New Lead,VIP,WebTrader,1:500,7,16062.36,1817.92,Withdrawal Issue,Open,53.8,Omar H.,2026-03-31,80
2025-12-13,zainab.anderson@icloud.com,632324651201,Anderson,Zainab,Indonesia,Gold,MT4 Standard,190.88,facebook_campaign,direct,google,Active,Standard,WebTrader,1:200,8,1664.36,8564.36,KYC Verification,Reopened,37.1,Reza A.,2026-03-29,4
2025-09-23,omar.dupont@gmail.com,565375461598,Dupont,Omar,Turkey,Premium,Cent Account,526.42,google_ads_q1,direct,partner,Churned,Standard,cTrader,1:500,1,604.42,12235.29,Bonus Inquiry,Closed,9.7,Omar H.,2026-03-13,294
2025-07-05,khalid.wilson@gmail.com,519033841191,Wilson,Khalid,USA,Bronze,ECN Account,196.2,forex_webinar,display,instagram,Pending KYC,VIP,MT5,1:1000,10,2201.5,3009.0,Leverage Request,Open,31.7,Ali R.,2026-04-04,40
2025-10-05,yusuf.brown@gmail.com,237991986741,Brown,Yusuf,Qatar,Elite,VIP Account,14081.71,loyalty_bonus,direct,direct,Pending KYC,Cent,MT5,1:100,11,212292.83,10204.31,KYC Verification,Open,11.0,Omar H.,2026-04-02,349
2025-12-05,isabella.williams@hotmail.com,379919491730,Williams,Isabella,Indonesia,Premium,ECN Account,2790.57,loyalty_bonus,direct,bing,Converted,VIP,cTrader,1:500,11,31063.84,-4247.86,Account Suspension,Pending Client,4.5,Ali R.,2026-03-24,197
2026-03-08,tariq.williams@gmail.com,653775094726,Williams,Tariq,Australia,Standard,Cent Account,98.99,forex_webinar,sms,direct,VIP Active,Pro,MT4,1:200,6,726.69,14647.71,Password Reset,Closed,69.0,David P.,2026-03-16,269
2025-11-04,yusuf.smith@outlook.com,375940815822,Smith,Yusuf,Iran,Premium,ECN Account,3250.76,loyalty_bonus,social,youtube,Active,Islamic,MT4,1:50,6,24872.77,6159.26,Withdrawal Issue,Reopened,45.6,Reza A.,2026-04-03,159
2025-09-14,david.wilson@hotmail.com,245085241101,Wilson,David,UK,Bronze,MT5 Pro,26044.17,email_blast,organic,twitter,Converted,Cent,WebTrader,1:200,7,227967.67,-4635.39,Leverage Request,Reopened,9.6,Ali R.,2026-03-27,71
2026-01-03,reza.johnson@yahoo.com,932879792991,Johnson,Reza,Iraq,Pro,Cent Account,200.31,google_ads_q1,organic,direct,On Hold,ECN,MT5,1:1000,11,2282.15,11180.87,General Inquiry,Closed,43.2,Fatima K.,2026-03-11,313
2025-07-17,nour.anderson@yahoo.com,339814045133,Anderson,Nour,Germany,Elite,MT5 Pro,14217.51,google_ads_q1,push,facebook,Rejected,ECN,WebTrader,1:100,11,228801.0,11025.18,Trade Dispute,Escalated,55.5,Nour S.,2026-03-21,365
2025-11-25,ava.hosseini@outlook.com,652606152369,Hosseini,Ava,Qatar,Pro,ECN Account,210.52,ramadan_offer,display,twitter,Churned,Islamic,WebTrader,1:50,9,1711.17,3297.94,Bonus Inquiry,Open,68.2,Omar H.,2026-04-07,15
2025-12-06,ahmed.patel@icloud.com,942817865363,Patel,Ahmed,India,Silver,Cent Account,463.76,forex_webinar,referral,facebook,Churned,Islamic,MT4,1:100,3,1852.06,11699.26,Trade Dispute,Escalated,44.5,Ali R.,2026-04-01,25
2026-02-08,layla.ivanov@icloud.com,543869961166,Ivanov,Layla,Indonesia,Starter,Islamic Account,184.43,google_ads_q1,email,bing,Rejected,Standard,WebTrader,1:1000,1,229.13,2056.32,General Inquiry,Closed,51.9,Lena T.,2026-03-27,279
2025-05-01,yusuf.thomas@hotmail.com,185485387618,Thomas,Yusuf,Canada,Starter,VIP Account,97.81,google_ads_q1,social,direct,Rejected,ECN,cTrader,1:50,7,1017.92,10430.03,Account Suspension,Resolved,1.7,Ali R.,2026-03-30,357
2025-04-27,hana.brown@gmail.com,973778416511,Brown,Hana,Iran,Silver,Cent Account,456.31,google_ads_q1,cpc,youtube,Rejected,Pro,WebTrader,1:1000,4,1516.16,4468.0,KYC Verification,Open,23.1,Lena T.,2026-03-19,140
2025-09-29,fatima.thomas@yahoo.com,706556684476,Thomas,Fatima,Pakistan,Premium,Islamic Account,5243.31,ramadan_offer,display,linkedin,Active,Standard,WebTrader,1:500,8,53878.07,7049.07,Leverage Request,Reopened,37.6,Ali R.,2026-03-15,157
2025-10-06,tariq.smith@yahoo.com,782881937953,Smith,Tariq,USA,VIP,MT5 Pro,9703.09,ramadan_offer,organic,youtube,Follow Up,Cent,cTrader,1:100,7,67391.08,14055.79,Withdrawal Issue,Open,48.5,Nour S.,2026-03-29,186
2025-10-16,khalid.williams@outlook.com,673412365931,Williams,Khalid,Saudi Arabia,Silver,VIP Account,517.91,referral_program,sms,twitter,Pending KYC,Standard,MT5,1:50,2,1244.79,9713.5,Password Reset,In Progress,29.0,Lena T.,2026-03-24,314
2025-11-26,nour.wilson@hotmail.com,394656572173,Wilson,Nour,France,VIP,MT5 Pro,185.43,google_ads_q1,push,twitter,Converted,Mini,cTrader,1:50,12,2473.44,5999.94,Deposit Problem,Reopened,49.3,Reza A.,2026-03-15,63
2026-01-27,omar.thomas@outlook.com,683469178881,Thomas,Omar,Bahrain,VIP,MT5 Pro,9052.57,google_ads_q1,email,direct,On Hold,Islamic,MT4,1:500,8,98677.59,14991.9,Password Reset,Closed,44.3,Ali R.,2026-03-21,239
2025-06-14,emma.hosseini@yahoo.com,455633668009,Hosseini,Emma,Pakistan,Gold,MT5 Pro,15419.38,partner_offer,referral,instagram,New Lead,ECN,cTrader,1:100,9,199488.03,1453.22,Withdrawal Issue,Reopened,9.4,Fatima K.,2026-03-23,321
2026-01-31,nour.smith@icloud.com,343796581976,Smith,Nour,Australia,Institutional,MT4 Standard,15422.96,facebook_campaign,direct,google,VIP Active,Standard,MT4,1:50,3,58350.29,13970.94,General Inquiry,In Progress,60.7,Sara M.,2026-03-14,255
2025-09-08,noah.brown@hotmail.com,942712474804,Brown,Noah,Australia,Bronze,ECN Account,1993.18,partner_offer,push,facebook,Active,Islamic,MT5,1:1000,2,5110.63,-2126.63,Platform Error,Escalated,30.2,David P.,2026-03-24,164
2025-05-04,layla.kowalski@yahoo.com,647299922974,Kowalski,Layla,Qatar,Silver,ECN Account,9495.84,email_blast,cpc,facebook,Converted,Cent,cTrader,1:200,7,93385.92,-1203.32,Bonus Inquiry,Closed,69.3,Fatima K.,2026-03-19,484
2025-05-04,khalid.hosseini@outlook.com,475489281916,Hosseini,Khalid,Germany,Standard,MT5 Pro,1016.67,loyalty_bonus,push,twitter,Follow Up,ECN,WebTrader,1:200,8,9908.57,9550.16,Trade Dispute,In Progress,38.9,Ali R.,2026-03-19,186
2025-08-30,dina.dupont@hotmail.com,971619623590,Dupont,Dina,Kuwait,Institutional,Islamic Account,14851.06,partner_offer,affiliate,bing,On Hold,Pro,cTrader,1:200,10,189540.97,6156.64,Deposit Problem,Closed,70.2,Nour S.,2026-04-05,21
2025-11-28,sara.karimi@hotmail.com,767581349462,Karimi,Sara,Bahrain,Institutional,Mini Account,3182.38,referral_program,sms,google,On Hold,VIP,MT5,1:1000,10,45355.03,9786.39,Platform Error,In Progress,67.1,Reza A.,2026-03-14,189
2026-02-08,ahmed.davis@icloud.com,493923699745,Davis,Ahmed,Qatar,Standard,Islamic Account,24038.39,loyalty_bonus,email,twitter,Follow Up,ECN,WebTrader,1:1000,5,177517.44,7580.5,General Inquiry,Pending Client,16.8,Sara M.,2026-03-25,10
2025-12-21,tariq.santos@hotmail.com,237584730597,Santos,Tariq,USA,Starter,MT5 Pro,5190.5,google_ads_q1,referral,tiktok,Active,Mini,cTrader,1:500,10,74969.75,5509.54,Withdrawal Issue,Resolved,10.4,Omar H.,2026-04-03,248
2025-09-03,omar.kim@outlook.com,518809871735,Kim,Omar,Jordan,VIP,VIP Account,1889.95,referral_program,cpc,linkedin,Churned,Standard,cTrader,1:1000,4,9700.49,8532.44,Trade Dispute,In Progress,34.8,Lena T.,2026-04-01,490
2025-07-21,james.johnson@icloud.com,293739951076,Johnson,James,Pakistan,Standard,Islamic Account,2098.94,ramadan_offer,affiliate,youtube,Inactive,ECN,MT5,1:50,9,18697.64,8396.68,Password Reset,Resolved,19.9,Ali R.,2026-04-05,368
2025-11-03,hana.patel@gmail.com,843465883999,Patel,Hana,Bahrain,Starter,MT4 Standard,16433.73,summer_promo,social,partner,New Lead,Mini,cTrader,1:50,8,149114.93,13158.74,KYC Verification,Reopened,69.4,Reza A.,2026-03-30,452
2025-09-04,ethan.garcia@yahoo.com,657305101214,Garcia,Ethan,Saudi Arabia,Gold,Cent Account,5287.96,ramadan_offer,display,instagram,New Lead,VIP,cTrader,1:1000,1,4264.67,5486.37,General Inquiry,Pending Client,8.2,Reza A.,2026-04-07,375
2025-09-07,tariq.brown@gmail.com,245216305802,Brown,Tariq,Jordan,Elite,Mini Account,451.41,google_ads_q1,organic,google,Pending KYC,Cent,WebTrader,1:200,11,6604.61,-3265.24,Platform Error,Pending Client,61.7,Nour S.,2026-03-28,134
2026-02-01,khalid.kim@icloud.com,918601409432,Kim,Khalid,Germany,Premium,Cent Account,2181.61,referral_program,display,tiktok,Churned,Islamic,WebTrader,1:100,10,17627.52,3108.33,Leverage Request,Resolved,17.4,Ali R.,2026-04-02,114
2025-10-17,layla.nguyen@gmail.com,688317619798,Nguyen,Layla,France,Premium,MT5 Pro,10495.47,loyalty_bonus,email,google,VIP Active,Mini,MT5,1:1000,12,149178.1,12462.7,Trade Dispute,Reopened,38.9,Omar H.,2026-03-23,425
2025-12-31,dina.hosseini@outlook.com,739837912162,Hosseini,Dina,Turkey,Elite,VIP Account,13949.56,referral_program,cpc,partner,Pending KYC,VIP,MT4,1:100,2,35605.04,5264.96,General Inquiry,Escalated,7.0,David P.,2026-03-24,131
2026-04-02,ethan.alrashid@outlook.com,486937704752,Al-Rashid,Ethan,Turkey,Pro,VIP Account,181.81,facebook_campaign,email,bing,Pending KYC,Pro,MT5,1:100,9,2447.7,10316.55,Deposit Problem,Escalated,2.8,Nour S.,2026-03-12,69
2025-08-01,david.rossi@hotmail.com,202183906581,Rossi,David,Qatar,Premium,MT5 Pro,14679.18,summer_promo,affiliate,tiktok,New Lead,Pro,WebTrader,1:100,1,19513.41,-49.76,Account Suspension,Escalated,48.7,Nour S.,2026-04-05,393
2025-11-23,isabella.alrashid@gmail.com,182242377075,Al-Rashid,Isabella,Egypt,Institutional,MT5 Pro,184.04,google_ads_q1,direct,tiktok,Follow Up,ECN,WebTrader,1:1000,11,2616.18,-654.62,Withdrawal Issue,Closed,53.4,Nour S.,2026-03-29,396
2025-07-31,emma.moore@hotmail.com,838178361487,Moore,Emma,India,Starter,MT5 Pro,2150.5,google_ads_q1,affiliate,partner,On Hold,Cent,WebTrader,1:500,5,10673.01,-4062.32,Password Reset,Pending Client,63.4,Fatima K.,2026-03-23,77
2025-09-09,nour.tanaka@hotmail.com,832593765711,Tanaka,Nour,Iran,Starter,Cent Account,14920.56,forex_webinar,cpc,linkedin,Inactive,VIP,MT5,1:100,12,161329.37,99.91,Trade Dispute,Open,40.7,Nour S.,2026-04-06,194
2026-03-18,emma.smith@outlook.com,324022663059,Smith,Emma,Indonesia,Pro,MT4 Standard,187.53,forex_webinar,push,youtube,VIP Active,ECN,MT5,1:50,4,851.82,9937.58,Leverage Request,In Progress,68.9,Sara M.,2026-03-27,398
2025-12-27,nour.tanaka@yahoo.com,951626733282,Tanaka,Nour,Germany,Silver,VIP Account,2885.05,partner_offer,direct,tiktok,Pending KYC,Islamic,cTrader,1:500,8,25993.21,-4085.69,Trade Dispute,Reopened,60.5,Omar H.,2026-04-07,369
2025-08-12,lina.dupont@hotmail.com,227642365889,Dupont,Lina,Bahrain,VIP,MT5 Pro,2838.01,partner_offer,cpc,bing,VIP Active,VIP,WebTrader,1:100,9,32137.71,9655.44,Leverage Request,In Progress,55.1,David P.,2026-03-25,18
2025-05-13,ethan.johnson@outlook.com,29661772834,Johnson,Ethan,Saudi Arabia,Silver,Cent Account,98.25,partner_offer,referral,google,Inactive,Standard,WebTrader,1:50,3,237.69,5644.25,Password Reset,Escalated,27.2,David P.,2026-04-01,258
2026-01-02,ethan.wilson@outlook.com,733994607170,Wilson,Ethan,USA,Silver,Cent Account,460.7,ramadan_offer,cpc,facebook,Converted,Standard,WebTrader,1:200,4,1721.82,14185.96,Password Reset,In Progress,58.8,Lena T.,2026-03-14,208
